Nightlord,Shifting Earth,Map ID,Evergaol,Boss
0.0,Gladius,Default,Northwest of Lake,Nox Warriors
0.0,Gladius,Default,Murkwater Terminus,Bloodhound Knight
0.0,Gladius,Default,Stormhill,Beastmen of Farum Azula
0.0,Gladius,Default,Highroad,Grave Warden Duelist
0.0,Gladius,Default,East of Lake,Banished Knights
0.0,Gladius,Default,Mistwood,Godskin Apostle
0.0,Gladius,Default,Northeast Tunnel Entrance,Crucible Knight with Sword
1.0,Gladius,Default,Northwest of Lake,Dragonkin Soldier
1.0,Gladius,Default,Murkwater Terminus,Nox Warriors
1.0,Gladius,Default,Stormhill,Crucible Knight with Spear
1.0,Gladius,Default,Highroad,Beastly Brigade
1.0,Gladius,Default,East of Lake,Banished Knights
1.0,Gladius,Default,Mistwood,Crystalians
1.0,Gladius,Default,Northeast Tunnel Entrance,Grave Warden Duelist
2.0,Gladius,Default,Northwest of Lake,Nox Warriors
2.0,Gladius,Default,Murkwater Terminus,Omen
2.0,Gladius,Default,Stormhill,Crucible Knight with Spear
2.0,Gladius,Default,Highroad,Bloodhound Knight
2.0,Gladius,Default,East of Lake,Banished Knights
2.0,Gladius,Default,Mistwood,Godskin Noble
2.0,Gladius,Default,Northeast Tunnel Entrance,Beastmen of Farum Azula
3.0,Gladius,Default,Northwest of Lake,Crystalians
3.0,Gladius,Default,Murkwater Terminus,Banished Knights
3.0,Gladius,Default,Stormhill,Beastly Brigade
3.0,Gladius,Default,Highroad,Nox Warriors
3.0,Gladius,Default,East of Lake,Dragonkin Soldier
3.0,Gladius,Default,Mistwood,Grave Warden Duelist
3.0,Gladius,Default,Northeast Tunnel Entrance,Godskin Apostle
4.0,Gladius,Default,Northwest of Lake,Crystalians
4.0,Gladius,Default,Murkwater Terminus,Omen
4.0,Gladius,Default,Stormhill,Nox Warriors
4.0,Gladius,Default,Highroad,Godskin Apostle
4.0,Gladius,Default,East of Lake,Banished Knights
4.0,Gladius,Default,Mistwood,Grave Warden Duelist
4.0,Gladius,Default,Northeast Tunnel Entrance,Crucible Knight with Sword
5.0,Gladius,Default,Northwest of Lake,Crucible Knight with Sword
5.0,Gladius,Default,Murkwater Terminus,Grave Warden Duelist
5.0,Gladius,Default,Stormhill,Godskin Apostle
5.0,Gladius,Default,Highroad,Bloodhound Knight
5.0,Gladius,Default,East of Lake,Banished Knights
5.0,Gladius,Default,Mistwood,Beastly Brigade
5.0,Gladius,Default,Northeast Tunnel Entrance,Nox Warriors
6.0,Gladius,Default,Northwest of Lake,Beastly Brigade
6.0,Gladius,Default,Murkwater Terminus,Crucible Knight with Spear
6.0,Gladius,Default,Stormhill,Crucible Knight with Sword
6.0,Gladius,Default,Highroad,Nox Warriors
6.0,Gladius,Default,East of Lake,Grave Warden Duelist
6.0,Gladius,Default,Mistwood,Ancient Dragon
6.0,Gladius,Default,Northeast Tunnel Entrance,Crystalians
7.0,Gladius,Default,Northwest of Lake,Bloodhound Knight
7.0,Gladius,Default,Murkwater Terminus,Godskin Apostle
7.0,Gladius,Default,Stormhill,Crucible Knight with Spear
7.0,Gladius,Default,Highroad,Banished Knights
7.0,Gladius,Default,East of Lake,Nox Warriors
7.0,Gladius,Default,Mistwood,Omen
7.0,Gladius,Default,Northeast Tunnel Entrance,Beastly Brigade
8.0,Gladius,Default,Northwest of Lake,Omen
8.0,Gladius,Default,Murkwater Terminus,Nox Warriors
8.0,Gladius,Default,Stormhill,Banished Knights
8.0,Gladius,Default,Highroad,Crystalians
8.0,Gladius,Default,East of Lake,Crucible Knight with Spear
8.0,Gladius,Default,Mistwood,Grave Warden Duelist
8.0,Gladius,Default,Northeast Tunnel Entrance,Godskin Apostle
9.0,Gladius,Default,Northwest of Lake,Crystalians
9.0,Gladius,Default,Murkwater Terminus,Crucible Knight with Spear
9.0,Gladius,Default,Stormhill,Godskin Apostle
9.0,Gladius,Default,Highroad,Beastmen of Farum Azula
9.0,Gladius,Default,East of Lake,Grave Warden Duelist
9.0,Gladius,Default,Mistwood,Nox Warriors
9.0,Gladius,Default,Northeast Tunnel Entrance,Banished Knights
10.0,Gladius,Default,Northwest of Lake,Beastly Brigade
10.0,Gladius,Default,Murkwater Terminus,Godskin Apostle
10.0,Gladius,Default,Stormhill,Beastmen of Farum Azula
10.0,Gladius,Default,Highroad,Stoneskin Lords
10.0,Gladius,Default,East of Lake,Dragonkin Soldier
10.0,Gladius,Default,Mistwood,Banished Knights
10.0,Gladius,Default,Northeast Tunnel Entrance,Bloodhound Knight
11.0,Gladius,Default,Northwest of Lake,Grave Warden Duelist
11.0,Gladius,Default,Murkwater Terminus,Nox Warriors
11.0,Gladius,Default,Stormhill,Bloodhound Knight
11.0,Gladius,Default,Highroad,Godskin Apostle
11.0,Gladius,Default,East of Lake,Crucible Knight with Sword
11.0,Gladius,Default,Mistwood,Stoneskin Lords
11.0,Gladius,Default,Northeast Tunnel Entrance,Beastmen of Farum Azula
12.0,Gladius,Default,Northwest of Lake,Crucible Knight with Sword
12.0,Gladius,Default,Murkwater Terminus,Bloodhound Knight
12.0,Gladius,Default,Stormhill,Godskin Noble
12.0,Gladius,Default,Highroad,Crystalians
12.0,Gladius,Default,East of Lake,Beastly Brigade
12.0,Gladius,Default,Mistwood,Omen
12.0,Gladius,Default,Northeast Tunnel Entrance,Stoneskin Lords
13.0,Gladius,Default,Northwest of Lake,Dragonkin Soldier
13.0,Gladius,Default,Murkwater Terminus,Ancient Dragon
13.0,Gladius,Default,Stormhill,Omen
13.0,Gladius,Default,Highroad,Nox Warriors
13.0,Gladius,Default,East of Lake,Grave Warden Duelist
13.0,Gladius,Default,Mistwood,Bloodhound Knight
13.0,Gladius,Default,Northeast Tunnel Entrance,Crucible Knight with Spear
14.0,Gladius,Default,Northwest of Lake,Crucible Knight with Sword
14.0,Gladius,Default,Murkwater Terminus,Banished Knights
14.0,Gladius,Default,Stormhill,Nox Warriors
14.0,Gladius,Default,Highroad,Grave Warden Duelist
14.0,Gladius,Default,East of Lake,Godskin Apostle
14.0,Gladius,Default,Mistwood,Omen
14.0,Gladius,Default,Northeast Tunnel Entrance,Crystalians
15.0,Gladius,Default,Northwest of Lake,Stoneskin Lords
15.0,Gladius,Default,Murkwater Terminus,Bloodhound Knight
15.0,Gladius,Default,Stormhill,Nox Warriors
15.0,Gladius,Default,Highroad,Beastly Brigade
15.0,Gladius,Default,East of Lake,Beastmen of Farum Azula
15.0,Gladius,Default,Mistwood,Crucible Knight with Spear
15.0,Gladius,Default,Northeast Tunnel Entrance,Godskin Apostle
16.0,Gladius,Default,Northwest of Lake,Nox Warriors
16.0,Gladius,Default,Murkwater Terminus,Stoneskin Lords
